epoch,AUC,accuracy,loss,val_AUC,val_accuracy,val_loss
0,0.51735806,0.5319056,0.7005038897578533,0.5556491,0.5297203,0.6885928207344109
1,0.65297854,0.6372378,0.6438940690009745,0.7295069,0.67132866,0.612763438504059
2,0.5316705,0.69055945,0.5891708438838279,0.5382644,0.74125874,0.5360216873509067
3,0.5195817,0.73382866,0.5314018573299363,0.50262237,0.77097905,0.5202421813786446
4,0.52363634,0.7736014,0.4756676772205563,0.5332932,0.701049,0.6062170649272995
5,0.53427684,0.7945804,0.43208389518899726,0.5201156,0.7797203,0.47823915062667605
6,0.54397887,0.82342654,0.3978974132316669,0.5494401,0.78496504,0.46125357298480046
7,0.55768776,0.84746504,0.35675335284387627,0.5551188,0.77797204,0.4953640082499364
8,0.575422,0.87805945,0.30649238417146507,0.53423,0.77797204,0.5380268234212499
9,0.56283426,0.8824301,0.2762677156044027,0.53322285,0.77272725,0.5084356337889925
10,0.56663877,0.9073427,0.2449085541457016,0.55299926,0.8076923,0.5331801002962397
11,0.5784113,0.9125874,0.2169446608847841,0.5560862,0.7972028,0.5449103930235638
