epoch,AUC,accuracy,loss,val_AUC,val_accuracy,val_loss
0,0.52952963,0.5402098,0.7168496613475409,0.5359217,0.5034965,0.6842783439409482
1,0.5365428,0.57255244,0.6771000174844598,0.56695163,0.60314685,0.8700277804286329
2,0.5258582,0.6931818,0.5938693977293227,0.5354372,0.7185315,0.5607320928907061
3,0.5172355,0.7548077,0.500738892560968,0.50710607,0.7377622,0.5244615337961204
4,0.52220964,0.7902098,0.4608410735438754,0.51932555,0.7692308,0.4739019005865484
5,0.50727266,0.80987763,0.40965279050405834,0.50261784,0.7465035,0.5457565216542958
6,0.51133096,0.83566433,0.3779787437443237,0.51049256,0.80244756,0.4775441740020797
7,0.52301085,0.86013985,0.3326147374065293,0.513931,0.7744755,0.4854886290988514
8,0.5155176,0.88286716,0.29625032813177554,0.5131501,0.8146853,0.4428703576665033
9,0.50810075,0.88986015,0.26163691924184795,0.5017513,0.7674825,0.5189280312612549
10,0.51070946,0.9187063,0.21673191792186727,0.5043859,0.7692308,0.5457712131441681
11,0.5166,0.92788464,0.1892858124187483,0.5061189,0.8076923,0.5179047953692375
12,0.51180816,0.94012237,0.1575495074393221,0.5061189,0.8076923,0.574093717795152
13,0.51596177,0.9423077,0.15578723111374293,0.50524324,0.7867133,0.627661661176545
