epoch,AUC,accuracy,loss,val_AUC,val_accuracy,val_loss
0,0.5672188,0.5563811,0.6842480043952281,0.707394,0.6555944,0.6405373732526819
1,0.68596005,0.64772725,0.6349451671374011,0.75590193,0.70804197,0.6146890791979703
2,0.75267416,0.6949301,0.5820955722690462,0.806566,0.7377622,0.5345302453407874
3,0.7826101,0.7263986,0.5623727534226812,0.81694853,0.73426574,0.5259504594898724
4,0.8076704,0.74213284,0.5344682171992905,0.80029434,0.7395105,0.5461931848651046
5,0.82472396,0.7622378,0.51478895683076,0.8045993,0.7395105,0.5361123236117663
6,0.83206755,0.7543706,0.5029922471596644,0.8188588,0.736014,0.5171929468641748
7,0.84397954,0.7722902,0.4865550972729713,0.83797336,0.76573426,0.5000003864402538
8,0.85577583,0.7827797,0.47183285594325175,0.8306992,0.75,0.5201159038326957
9,0.8660763,0.78846157,0.45492185652907285,0.8429553,0.75174826,0.49696936091030397
10,0.8864703,0.8173077,0.4215521506079427,0.7998924,0.7237762,0.6382916516826286
11,0.89063764,0.8129371,0.41519907718993254,0.84314793,0.7604895,0.48848211421416354
12,0.90377516,0.8277972,0.39267829136427984,0.8598235,0.7797203,0.475837223883067
13,0.9067387,0.83391607,0.38328849247467894,0.7976445,0.736014,0.5940005518235527
14,0.9212986,0.8505245,0.3566864944727427,0.8287188,0.74475527,0.5989703758378754
15,0.9288683,0.8548951,0.33921641850082035,0.8653051,0.7797203,0.46615792969827885
16,0.93336123,0.85882866,0.3264332518349499,0.8555369,0.79195803,0.4785225562803395
17,0.9427684,0.8736888,0.30253822656537216,0.85015464,0.7937063,0.5584837159506612
18,0.9549326,0.89073426,0.2692997838701024,0.87490827,0.8041958,0.5469604608817742
19,0.9542975,0.8916084,0.2707852712682598,0.8611883,0.7972028,0.5246237668866566
20,0.9642171,0.90297204,0.24255873723536847,0.8631871,0.7832168,0.5154770604901381
